Name, Lat, Lon
2017 Uncertain 1,43.15093976,-124.5738549
2017 Uncertain 2,43.15122712,-124.5740194
2017 Uncertain 3,43.15156947,-124.5741964
2017 Uncertain 4,43.15589177,-124.5767142
2017 Uncertain 5,48.13021907,-125.5474514
2017 Uncertain 6,48.26160618,-125.2501407
2017 Uncertain 7,47.92639787,-125.2044899
2017 Uncertain 8,47.92614632,-125.1858474
2017 Uncertain 9,47.92614053,-125.1850996
2017 Uncertain 10,47.92612448,-125.1846661
2017 Uncertain 11,47.92611954,-125.1834904
2017 Uncertain 12,47.92611489,-125.1809965
2017 Uncertain 13,47.59116347,-125.0479366
2017 Uncertain 14,47.59178464,-125.0457146
2017 Uncertain 15,47.59238426,-125.0436554
2017 Uncertain 16,47.59264138,-125.0426663
2017 Uncertain 17,47.59323153,-125.0406614
2017 Uncertain 18,47.59896691,-125.0231323
2017 Uncertain 19,47.60392368,-125.0110183
2017 Uncertain 20,47.6011126,-125.0176662
2017 Uncertain 21,47.59642301,-125.0302758
2017 Uncertain 22,47.59671609,-125.0294139
2017 Uncertain 23,47.59358019,-125.0394639
2017 Uncertain 24,47.59382924,-125.038595
2017 Uncertain 25,47.59414658,-125.0374664
2017 Uncertain 26,47.59472833,-125.0354146
2017 Uncertain 27,47.592356,-125.011527
2017 Uncertain 28,47.59213845,-125.0225817
2017 Uncertain 29,47.59213241,-125.023848
2017 Uncertain 30,47.59197765,-125.0352178
2017 Uncertain 31,47.59195064,-125.0378107
2017 Uncertain 32,47.5919032,-125.0398561
2017 Uncertain 33,47.25719333,-124.6277774
2017 Uncertain 34,47.25718228,-124.6293965
2017 Uncertain 35,47.25715167,-124.6312765
2017 Uncertain 36,47.09537169,-124.8875523
2017 Uncertain 37,47.09538646,-124.8867479
2017 Uncertain 38,47.0953913,-124.8856215
2017 Uncertain 39,46.75066575,-124.83593
2017 Uncertain 40,46.75067526,-124.834027
2017 Uncertain 41,46.75066655,-124.8326958
2017 Uncertain 42,46.75071387,-124.831048
2017 Uncertain 43,46.75066143,-124.8321599
2017 Uncertain 44,46.75087509,-124.8214531
2017 Uncertain 45,46.58489776,-124.579008
